step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,1,injection,2.5,1.0009765625,2.50390625,2.130859375,0.38623046875,0.38720703125,0.9677734375,0.30454824830967675
1,925,1,injection,2.5,1.75390625,1.7509765625,6.3359375,1.1845703125,1.1884765625,2.970703125,0.8607809847196147
2,892,1,injection,2.5,5.10546875,1.658203125,7.375,1.2958984375,1.3115234375,3.27734375,0.8596311475407581
3,859,1,injection,2.5,4.63671875,1.7041015625,10.875,1.841796875,1.853515625,4.6328125,1.2095869454356862
4,826,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
