rank,feature_id,rank_by,rank_score,active_ratio,mean_activation,std_activation
1,3636,active_ratio,1.0,1.0,38.74137496948242,1.2300993204116821
2,3855,active_ratio,1.0,1.0,1.1304975748062134,0.5871303081512451
3,1789,active_ratio,1.0,1.0,1.0922846794128418,0.5330607295036316
4,4481,active_ratio,1.0,1.0,0.8291221261024475,0.410940557718277
5,3611,active_ratio,1.0,1.0,0.7825531959533691,0.5635396838188171
6,4072,active_ratio,1.0,1.0,0.757183849811554,0.3823975622653961
7,2822,active_ratio,1.0,1.0,0.7526156306266785,0.49343425035476685
8,2803,active_ratio,1.0,1.0,0.7399317026138306,0.5549790859222412
9,2906,active_ratio,1.0,1.0,0.7132759094238281,0.44263017177581787
10,2575,active_ratio,1.0,1.0,0.5580130815505981,0.3649907112121582
11,1174,active_ratio,1.0,1.0,0.42032697796821594,0.2539578378200531
12,1029,active_ratio,1.0,1.0,0.1254887580871582,0.06848035007715225
13,1135,active_ratio,0.9990000128746033,0.9990000128746033,1.0958373546600342,0.671425998210907
14,2686,active_ratio,0.9990000128746033,0.9990000128746033,0.6128935217857361,0.5285627245903015
15,102,active_ratio,0.9990000128746033,0.9990000128746033,0.48728203773498535,0.30582791566848755
16,4656,active_ratio,0.9990000128746033,0.9990000128746033,0.4303987920284271,0.25938868522644043
17,3214,active_ratio,0.9990000128746033,0.9990000128746033,0.4012182950973511,0.24956311285495758
18,5014,active_ratio,0.9980000257492065,0.9980000257492065,0.6089164018630981,0.43042081594467163
19,407,active_ratio,0.996999979019165,0.996999979019165,0.9273236393928528,0.787151575088501
20,2673,active_ratio,0.996999979019165,0.996999979019165,0.8116586804389954,0.628292977809906
21,1177,active_ratio,0.996999979019165,0.996999979019165,0.7258822321891785,0.5930004715919495
22,449,active_ratio,0.9959999918937683,0.9959999918937683,0.6142405867576599,0.4489431083202362
23,2614,active_ratio,0.9959999918937683,0.9959999918937683,0.5952657461166382,0.35759690403938293
24,814,active_ratio,0.9959999918937683,0.9959999918937683,0.4542700946331024,0.3206855058670044
25,3298,active_ratio,0.9959999918937683,0.9959999918937683,0.4049399197101593,0.30423593521118164
26,1517,active_ratio,0.9950000047683716,0.9950000047683716,0.9535941481590271,0.7294661402702332
27,4622,active_ratio,0.9950000047683716,0.9950000047683716,0.41436779499053955,0.3377362787723541
28,2027,active_ratio,0.9950000047683716,0.9950000047683716,0.3191414177417755,0.24362830817699432
29,642,active_ratio,0.9940000176429749,0.9940000176429749,0.8650757670402527,0.6065125465393066
30,4539,active_ratio,0.9940000176429749,0.9940000176429749,0.5246353149414062,0.44434136152267456
31,2819,active_ratio,0.9940000176429749,0.9940000176429749,0.27708157896995544,0.2408941388130188
32,4985,active_ratio,0.9929999709129333,0.9929999709129333,0.5933657288551331,0.39916303753852844
33,481,active_ratio,0.9929999709129333,0.9929999709129333,0.42738890647888184,0.3480454981327057
34,925,active_ratio,0.9929999709129333,0.9929999709129333,0.3819988965988159,0.2730363607406616
35,2141,active_ratio,0.9929999709129333,0.9929999709129333,0.22748331725597382,0.19044168293476105
36,2493,active_ratio,0.9919999837875366,0.9919999837875366,0.5114772915840149,0.38024741411209106
37,4635,active_ratio,0.9919999837875366,0.9919999837875366,0.46672412753105164,0.4045482873916626
38,1926,active_ratio,0.9919999837875366,0.9919999837875366,0.39749038219451904,0.330608993768692
39,404,active_ratio,0.9900000095367432,0.9900000095367432,0.8844109773635864,0.8303039073944092
40,3135,active_ratio,0.9900000095367432,0.9900000095367432,0.6984557509422302,0.4933338761329651
41,2498,active_ratio,0.9900000095367432,0.9900000095367432,0.26213309168815613,0.22832603752613068
42,2296,active_ratio,0.9890000224113464,0.9890000224113464,0.7140774130821228,0.6265463829040527
43,1203,active_ratio,0.9869999885559082,0.9869999885559082,0.7247586846351624,0.6342886090278625
44,4756,active_ratio,0.9869999885559082,0.9869999885559082,0.6636853814125061,0.5000526309013367
45,1912,active_ratio,0.9860000014305115,0.9860000014305115,0.6877602934837341,0.5554404854774475
46,4818,active_ratio,0.9860000014305115,0.9860000014305115,0.5066006183624268,0.4460626244544983
47,157,active_ratio,0.9860000014305115,0.9860000014305115,0.4290446639060974,0.3466338813304901
48,2632,active_ratio,0.9850000143051147,0.9850000143051147,0.5830692648887634,0.48304229974746704
49,1374,active_ratio,0.9850000143051147,0.9850000143051147,0.48201674222946167,0.4011083245277405
50,4128,active_ratio,0.9850000143051147,0.9850000143051147,0.20669791102409363,0.172581747174263
51,3163,active_ratio,0.9829999804496765,0.9829999804496765,0.4787176549434662,0.40576618909835815
52,2521,active_ratio,0.9810000061988831,0.9810000061988831,0.6435211300849915,0.6709594130516052
53,1238,active_ratio,0.9810000061988831,0.9810000061988831,0.6290900111198425,0.5224751830101013
54,4794,active_ratio,0.9769999980926514,0.9769999980926514,0.2332748919725418,0.22581008076667786
55,189,active_ratio,0.9750000238418579,0.9750000238418579,0.3405343294143677,0.2937152087688446
56,4734,active_ratio,0.9750000238418579,0.9750000238418579,0.30255505442619324,0.2779051959514618
